input_a,input_b,output
20,56176,56196
92,92647,92739
33,58452,58485
37,42103,42140
54,79415,79469
94,18261,18355
49,76836,76885
99,34681,34780
72,87160,87232
16,11088,11104
11,98672,98683
33,64394,64427
84,84317,84401
24,70245,70269
43,61798,61841
92,21209,21301
69,94197,94266
68,34881,34949
21,87612,87633
70,35555,35625
43,22770,22813
35,97581,97616
79,12383,12462
23,84942,84965
67,44439,44506
79,12010,12089
49,56544,56593
11,81246,81257
98,74692,74790
47,69506,69553
22,29700,29722
96,72686,72782
27,76797,76824
14,46145,46159
58,94724,94782
29,75101,75130
38,25480,25518
57,36095,36152
60,41782,41842
92,98271,98363
83,60939,61022
18,89100,89118
54,57862,57916
41,14231,14272
78,90426,90504
80,40043,40123
29,92653,92682
99,28785,28884
91,47705,47796
97,36239,36336
84,15390,15474
83,62142,62225
13,85897,85910
72,84443,84515
27,17183,17210
13,63975,63988
48,31075,31123
18,23850,23868
62,87327,87389
72,48457,48529
21,40182,40203
91,34618,34709
79,30292,30371
61,34302,34363
44,83492,83536
18,61672,61690
90,92908,92998
83,44885,44968
78,97269,97347
49,44134,44183
59,33168,33227
99,81233,81332
50,41212,41262
77,22616,22693
24,65614,65638
53,31206,31259
82,36893,36975
17,29424,29441
21,86056,86077
47,44440,44487
31,90373,90404
20,94047,94067
58,44414,44472
45,95507,95552
15,51129,51144
60,60804,60864
42,27368,27410
30,26919,26949
78,26289,26367
93,60072,60165
69,44277,44346
34,77387,77421
76,15419,15495
59,31328,31387
98,68113,68211
43,59661,59704
57,80403,80460
89,19438,19527
31,41382,41413
65,81014,81079
