input_a,input_b,output
311,498,809
387,434,821
433,905,1338
491,874,1365
172,576,748
757,737,1494
777,157,934
530,661,1191
348,236,584
271,613,884
269,525,794
935,902,1837
268,778,1046
851,549,1400
581,290,871
763,680,1443
160,325,485
737,496,1233
571,754,1325
107,950,1057
204,414,618
396,293,689
557,244,801
979,905,1884
367,648,1015
269,685,954
895,182,1077
433,483,916
763,879,1642
992,672,1664
220,631,851
193,640,833
145,867,1012
485,841,1326
500,790,1290
694,508,1202
104,714,818
272,317,589
328,412,740
419,136,555
680,784,1464
228,859,1087
402,146,548
958,464,1422
135,831,966
130,490,620
567,290,857
889,196,1085
899,407,1306
577,777,1354
374,717,1091
622,273,895
401,836,1237
858,475,1333
648,927,1575
242,986,1228
862,294,1156
648,979,1627
277,407,684
790,548,1338
519,768,1287
256,879,1135
320,380,700
442,296,738
950,726,1676
776,920,1696
981,478,1459
318,380,698
705,685,1390
805,473,1278
730,948,1678
695,710,1405
378,631,1009
479,662,1141
324,308,632
392,380,772
411,388,799
996,802,1798
264,651,915
937,153,1090
905,769,1674
498,395,893
553,419,972
226,628,854
806,281,1087
941,845,1786
924,101,1025
840,510,1350
220,672,892
260,137,397
812,523,1335
147,641,788
788,568,1356
612,163,775
258,254,512
893,548,1441
132,650,782
603,875,1478
727,687,1414
253,220,473
